Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Feron Hunt,SF,22,NYK,2,8,0.000,1.5,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,huntfe01
De'Andre Hunter,SF,24,ATL,53,1577,0.442,13.9,0.661,0.219,0.179,0.153,0.110,0.339,0.474,0.651,0.398,0.409,0.333,0.379,0.661,0.932,huntede01
Chandler Hutchison,SF,25,PHO,6,22,0.500,5.0,1.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,1.000,,,,1.000,,hutchch01
Bones Hyland,SG,21,DEN,69,1310,0.403,19.4,0.373,0.123,0.130,0.072,0.049,0.627,0.465,0.700,0.284,0.341,0.536,0.366,0.364,0.687,hylanbo01
Serge Ibaka,C,32,TOT,54,877,0.500,13.8,0.666,0.193,0.274,0.105,0.095,0.334,0.563,0.789,0.506,0.516,0.321,0.374,0.703,1.000,ibakase01
Andre Iguodala,SF,38,GSW,31,603,0.380,18.1,0.388,0.207,0.116,0.025,0.041,0.612,0.617,0.760,0.571,0.000,0.400,0.230,0.621,0.941,iguodan01
Joe Ingles,SF,34,UTA,45,1122,0.404,21.3,0.211,0.039,0.147,0.014,0.011,0.789,0.617,0.818,0.619,0.250,0.333,0.347,0.595,0.756,inglejo01
Brandon Ingram,SF,24,NOP,55,1869,0.461,14.6,0.770,0.140,0.152,0.249,0.229,0.230,0.501,0.681,0.436,0.506,0.427,0.327,0.401,0.892,ingrabr01
Kyrie Irving,PG,29,BRK,29,1091,0.469,16.5,0.612,0.093,0.188,0.203,0.128,0.388,0.501,0.702,0.543,0.432,0.405,0.418,0.233,0.590,irvinky01
Wes Iwundu,SF,27,ATL,3,82,0.444,12.3,0.722,0.278,0.167,0.111,0.167,0.278,0.385,0.400,0.333,0.000,0.667,0.600,0.600,0.667,iwundwe01
Frank Jackson,PG,23,DET,53,1164,0.402,17.4,0.422,0.166,0.159,0.068,0.029,0.578,0.529,0.725,0.338,0.515,0.500,0.308,0.676,0.942,jacksfr01
Isaiah Jackson,C,20,IND,36,541,0.563,5.0,0.922,0.621,0.218,0.053,0.029,0.078,0.584,0.680,0.444,0.182,0.333,0.313,0.757,1.000,jacksis01
Jaren Jackson Jr.,PF,22,MEM,78,2126,0.415,13.1,0.613,0.218,0.335,0.055,0.005,0.387,0.476,0.615,0.395,0.421,0.400,0.319,0.563,0.984,jacksja02
Josh Jackson,SF,24,TOT,51,830,0.400,14.9,0.567,0.243,0.170,0.060,0.093,0.433,0.512,0.712,0.392,0.389,0.286,0.254,0.517,0.879,jacksjo02
Justin Jackson,SF,26,TOT,7,37,0.333,19.9,0.400,0.000,0.200,0.067,0.133,0.600,0.333,,0.667,0.000,0.000,0.333,1.000,1.000,jacksju01
Reggie Jackson,SG,31,LAC,75,2337,0.392,16.3,0.581,0.145,0.190,0.106,0.140,0.419,0.439,0.627,0.444,0.354,0.304,0.326,0.205,0.587,jacksre01
LeBron James,PF,37,LAL,56,2084,0.524,13.8,0.633,0.325,0.141,0.073,0.094,0.367,0.620,0.796,0.465,0.382,0.426,0.359,0.407,0.559,jamesle01
DeJon Jarreau,SG,24,IND,1,1,,,,,,,,,,,,,,,,,jarrede01
DaQuan Jeffries,SG,24,MEM,3,9,0.500,12.1,0.500,0.500,0.000,0.000,0.000,0.500,1.000,1.000,,,,0.000,1.000,,jeffrda01
Ty Jerome,SG,24,OKC,48,801,0.378,18.3,0.433,0.070,0.235,0.113,0.015,0.567,0.493,0.478,0.481,0.568,0.200,0.290,0.300,0.796,jeromty01
Isaiah Joe,SG,22,PHI,55,609,0.350,22.2,0.237,0.079,0.034,0.045,0.079,0.763,0.405,0.643,0.333,0.375,0.214,0.333,0.647,1.000,joeis01
Alize Johnson,PF,25,TOT,23,167,0.436,6.2,0.897,0.564,0.282,0.051,0.000,0.103,0.486,0.500,0.455,0.500,,0.000,0.529,,johnsal02
B.J. Johnson,SF,26,ORL,4,65,0.440,16.9,0.600,0.200,0.080,0.120,0.200,0.400,0.467,0.400,0.000,0.667,0.600,0.400,0.714,1.000,johnsbj01
Cameron Johnson,PF,25,PHO,66,1730,0.460,18.6,0.356,0.127,0.147,0.041,0.041,0.644,0.523,0.766,0.483,0.240,0.200,0.425,0.673,0.976,johnsca02
David Johnson,SG,20,TOR,2,2,0.000,26.1,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,johnsda08
Jalen Johnson,PF,20,ATL,22,120,0.537,10.8,0.683,0.488,0.073,0.073,0.049,0.317,0.679,0.950,0.000,0.000,0.000,0.231,0.789,1.000,johnsja05
James Johnson,PF,34,BRK,62,1191,0.469,9.4,0.723,0.476,0.192,0.033,0.023,0.277,0.545,0.651,0.390,0.200,0.143,0.271,0.512,0.913,johnsja01
Joe Johnson,SG,40,BOS,1,2,1.000,18.1,1.000,0.000,0.000,0.000,1.000,0.000,1.000,,,,1.000,,0.000,,johnsjo02
Keldon Johnson,SF,22,SAS,75,2392,0.466,13.4,0.605,0.218,0.295,0.064,0.029,0.395,0.510,0.645,0.450,0.369,0.414,0.398,0.644,0.969,johnske04
Keon Johnson,SG,19,TOT,37,697,0.353,13.3,0.632,0.276,0.188,0.103,0.066,0.368,0.360,0.507,0.353,0.214,0.000,0.340,0.484,0.559,johnske07
Stanley Johnson,PF,25,LAL,48,1094,0.466,13.7,0.582,0.243,0.215,0.088,0.036,0.418,0.575,0.738,0.370,0.682,0.444,0.314,0.548,0.939,johnsst04
Tyler Johnson,PG,29,TOT,6,91,0.300,22.2,0.350,0.000,0.000,0.150,0.200,0.650,0.143,,,0.000,0.250,0.385,1.000,1.000,johnsty01
Nikola Jokić,C,26,DEN,74,2476,0.583,10.2,0.780,0.268,0.384,0.082,0.046,0.220,0.652,0.776,0.606,0.565,0.467,0.337,0.580,0.918,jokicni01
Carlik Jones,PG,24,TOT,5,23,0.111,10.1,0.889,0.333,0.111,0.333,0.111,0.111,0.125,0.333,0.000,0.000,0.000,0.000,0.000,,jonesca03
Damian Jones,C,26,SAC,56,1017,0.658,7.4,0.891,0.489,0.241,0.060,0.102,0.109,0.696,0.877,0.469,0.438,0.519,0.345,0.794,0.900,jonesda03
Derrick Jones Jr.,PF,24,CHI,51,899,0.538,8.9,0.687,0.549,0.128,0.005,0.005,0.313,0.634,0.701,0.320,1.000,1.000,0.328,0.706,1.000,jonesde02
Herbert Jones,PF,23,NOP,78,2335,0.476,10.7,0.707,0.413,0.205,0.016,0.073,0.293,0.533,0.685,0.288,0.444,0.381,0.337,0.631,1.000,joneshe01
